A 63.72  0.63 64.35
2 KK  57.99  0.64 58.63
3 QQ  53.23  0.72 53.95
4 JJ  48.87  0.80 49.67
5 TT  44.86  0.88 45.74
6 99  40.82  0.85 41.67
7 KAs 40.03  2.65 42.68
8 QAs 38.37  2.90 41.27
9 88  37.27  0.87 38.14
10  KA  37.09  2.74 39.83
11  JAs 36.88  3.17 40.05
12  QKs 36.78  2.80 39.58
13  TAs 35.55  3.44 38.99
14  JKs 35.32  3.05 38.37
15  QA  35.30  3.01 38.31
16  JQs 34.27  3.07 37.34
17  77  34.05  0.88 34.93
18  TKs 34.04  3.30 37.34
19  QK  33.72  2.90 36.62
20  JA  33.68  3.30 36.98
21  TQs 33.03  3.29 36.32
22  9As 32.74  3.68 36.42
23  TJs 32.44  3.29 35.73
24  TA  32.24  3.58 35.82
25  JK  32.12  3.17 35.29
26  8As 31.58  3.98 35.56
27  9Ks 31.30  3.46 34.76
28  JQ  31.10  3.18 34.28
29  66  30.99  0.85 31.84
30  TK  30.74  3.42 34.16
31  7As 30.44  4.21 34.65
32  9Qs 30.32  3.41 33.73
33  9Js 29.78  3.41 33.19
34  TQ  29.76  3.41 33.17
35  5As 29.65  4.53 34.18
36  9Ts 29.55  3.43 32.98
37  TJ  29.23  3.41 32.64
38  9A  29.21  3.84 33.05
39  8Ks 29.03  3.69 32.72
40  6As 29.03  4.23 33.26
41  4As 28.90  4.48 33.38
42  55  28.54  0.96 29.50
43  3As 28.27  4.38 32.65
44  8Qs 28.14  3.58 31.72
45  7Ks 28.09  3.95 32.04
46  8A  27.94  4.16 32.10
47  9K  27.77  3.60 31.37
48  2As 27.65  4.29 31.94
49  8Js 27.62  3.53 31.15
50  8Ts 27.44  3.54 30.98
51  89s 27.09  3.44 30.53
52  6Ks 26.96  4.02 30.98
53  9Q  26.85  3.54 30.39
